"Brand_Clean","Count(Model_No)"
"KOGAN",769
"SAMSUNG ELECTRONICS",731
"LG",679
"SAMSUNG",462
"HISENSE",326
"EKO",188
"JVC",136
"SYLVOX",132
"PHILIPS",117
"BLAUPUNKT",109
"TCL",96
"SONY",92
"PANASONIC",86
"BAUHN",73
"CAIXUN",62
"EMETE",55
"TOSHIBA",50
"AIWA",47
"CHIQ",47
"LINSAR",42
"AKAI",38
"KONKA",34
"ENGLAON",32
"FFALCON",29
"SPARK ELECTRONICS",29
"LOEWE",27
"VEON",24
"WALTON",24
"TELEFUNKEN",17
"COOCAA",16
"KONIC",16
"SKYWORTH",16
"ILUMA",14
"POLAROID",13
"SPHERE",13
"TEAC",13
"DGTEC",12
"HYUNDAI",11
"QBELL",11
"SHARP",11
"TECO",10
"BELGIQUE",9
"DIGITECH",9
"PRISM+",8
"ALTIUS",6
"METZ",6
"SVISION",6
"AOA",5
"KODAK",5
"MYVI",5
"SMARTTECH",5
"SMTV",5
"FURRION",4
"MONSTER",4
"SHENZHEN XINCHAODA TECHNOLOGY CO., LTD",4
"ZEN TV",4
"AVEL INNOVATIONS",3
"FPD",3
"YOKOHAMA",3
"GORILLA",2
"HUBBL GLASS",2
"Q.BELL",2
"THOMSON",2
"ARK",1
"BROOKLYN",1
"DECAMAX",1
"DYNALINK",1
"HUBBL",1
"LSP TV",1
"PALSONIC",1
"RCA",1
"S VISION",1
"SHARETV",1
"SIGNIFY",1
"SONIQ",1
"STAN CASH",1
"TAVICE",1
"TENET",1
"VDT",1
"WINTAL",1
